year,EdadDesde,EdadHasta,CantidadPuestosVacantes,Confidencial,AreaEstudio1,IdIdioma1,isco_2dig_pred,Sexo,JornadaLaboral,NombreNivelJerarquico,num_words,highest_GradoEstudio,section_ciiu,cogn_core,cogn_soph,cogn_comp,cogn_software,cogn_mlai,cogn_finance,cogn_writing,cogn_manage,social_character,social_social,social_peoplemanage,social_customer,manual_fingerdexterity,manual_coordination,manual_physical,Sueldo
2011.0,18.0,45.0,1,0.0,,,24.0,,,,676.0,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,69069.08646987
2022.0,20.0,35.0,2,0.0,,,41.0,,Completa,Empleado,110.0,Secondary education,N - Administrative and support service activities,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29643.381935999998
2016.0,25.0,55.0,4,0.0,Marketing / Mercadotecnia,,52.0,,,Empleado,45.0,University degree,J - Information and communication,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42109.176699999996
2012.0,21.0,40.0,3,1.0,,,24.0,Female,,Empleado,39.0,,N - Administrative and support service activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15419.826773
2022.0,18.0,30.0,3,1.0,,,52.0,,Indiferente,Empleado,46.0,Primary education,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,31760.766359999998
2014.0,18.0,40.0,1,0.0,,,33.0,Male,,Empleado,132.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50169.319874999994
2010.0,18.0,35.0,4,1.0,Cosmetología,Español,23.0,Male,,,13.0,Professional technician,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11364.946554400001
2018.0,25.0,45.0,4,0.0,,,23.0,,Completa,Empleado,161.0,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,66315.05140499999
2016.0,22.0,40.0,4,1.0,,Inglés,52.0,,,Empleado,171.0,,J - Information and communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28634.240156
2015.0,22.0,40.0,5,1.0,,Español,52.0,,,Empleado,114.0,,J - Information and communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32317.778045
